Acnistus arborescens
Anisodus acutangulus
Anisodus carniolicoides
Anisodus luridus
Anisodus tanguticus
Anthocercis angustifolia
Anthocercis anisantha
Anthocercis fasciculata
Anthocercis genistoides
Anthocercis gracilis
Anthocercis ilicifolia
Anthocercis intricata
Anthocercis littorea
Anthocercis sylvicola
Anthocercis viscosa
Anthotroche myoporoides
Anthotroche pannosa
Anthotroche walcottii
Archihyoscyamus leptocalyx
Archiphysalis chamaesarachoides
Archiphysalis sinensis
Athenaea anonacea
Athenaea cuspidata
Athenaea hirsuta
Athenaea martiana
Athenaea micrantha
Athenaea pereirae
Athenaea picta
Athenaea pogogena
Athenaea pohliana
Athenaea purpusii
Athenaea schottiana
Athenaea velutina
Atrichodendron tonkinense
Atropa acuminata
Atropa baetica
Atropa belladonna
Atropa pallidiflora
Atropanthe mairei
Atropanthe sinensis
Aureliana angustifolia
Aureliana brasiliana
Aureliana darcyi
Aureliana fasciculata
Aureliana fasciculata
Aureliana fasciculata
Aureliana tomentosa
Aureliana velutina
Aureliana wettsteiniana
Benthamiella azorella
Benthamiella azorelloides
Benthamiella chubutensis
Benthamiella graminifolia
Benthamiella lanata
Benthamiella longifolia
Benthamiella nordenskioldii
Benthamiella nordenskjoldii
Benthamiella patagonica
Benthamiella pycnophylloides
Benthamiella skottsbergii
Benthamiella sorianoi
Benthamiella spegazziniana
Bouchetia anomala
Bouchetia arniatera
Bouchetia erecta
Bouchetia procumbens
Brachistus affinis
Brachistus hunzikeri
Brachistus knappiae
Brachistus nelsonii
Brachistus spruceanus
Brachistus stramoniifolius
Browallia abbreviata
Browallia acutiloba
Browallia americana
Browallia dilloniana
Browallia eludens
Browallia mirabilis
Browallia speciosa
Brugmansia arborea
Brugmansia	×	candida
Brugmansia	×	dolichocarpa
Brugmansia	×	insignis
Brugmansia longifolia
Brugmansia pittieri
Brugmansia	×	rubella
Brugmansia sanguinea
Brugmansia sanguinea
Brugmansia suaveolens
Brugmansia versicolor
Brunfelsia acunae
Brunfelsia amazonica
Brunfelsia americana
Brunfelsia australis
Brunfelsia bahiensis
Brunfelsia boliviana
Brunfelsia bonodora
Brunfelsia brasiliensis
Brunfelsia brasiliensis
Brunfelsia burchellii
Brunfelsia cestroides
Brunfelsia chiricaspi
Brunfelsia chocoensis
Brunfelsia clandestina
Brunfelsia clarensis
Brunfelsia cuneifolia
Brunfelsia densifolia
Brunfelsia dwyeri
Brunfelsia grandiflora
Brunfelsia grisebachii
Brunfelsia guianensis
Brunfelsia hydrangeiformis
Brunfelsia hydrangeiformis
Brunfelsia imatacana
Brunfelsia jamaicensis
Brunfelsia lactea
Brunfelsia latifolia
Brunfelsia linearis
Brunfelsia macrocarpa
Brunfelsia macroloba
Brunfelsia maliformis
Brunfelsia martiana
Brunfelsia membranacea
Brunfelsia mire
Brunfelsia nitida
Brunfelsia obovata
Brunfelsia obovata
Brunfelsia pauciflora
Brunfelsia picardae
Brunfelsia pilosa
Brunfelsia plicata
Brunfelsia pluriflora
Brunfelsia portoricensis
Brunfelsia purpurea
Brunfelsia rupestris
Brunfelsia shaferi
Brunfelsia sinuata
Brunfelsia splendida
