Acentra serrata
Agatea lecointei
Agatea longipedicellata
Agatea macrobotrys
Agatea pancheri
Agatea rufotomentosa
Agatea schlechteri
Agatea veillonii
Agatea violaris
Allexis batangae
Allexis cauliflora
Allexis obanensis
Allexis zygomorpha
Amphirrhox grandifolia
Amphirrhox longifolia
Anchietea exaltata
Anchietea frangulifolia
Anchietea peruviana
Anchietea pyrifolia
Anchietea raimondii
Anchietea selloviana
Anchietea sellowiana
Anchietea suma
Corynostylis arborea
Corynostylis carthagenensis
Corynostylis pubescens
Corynostylis volubilis
Decorsella paradoxa
Fusispermum laxiflorum
Fusispermum minutiflorum
Fusispermum rubrolignosum
Gloeospermum andinum
Gloeospermum blakeanum
Gloeospermum boreale
Gloeospermum dichotomum
Gloeospermum diversipetalum
Gloeospermum eneidense
Gloeospermum equatoriense
Gloeospermum falcatum
Gloeospermum ferrugineostictum
Gloeospermum gossypium
Gloeospermum grandifolium
Gloeospermum longifolium
Gloeospermum martii
Gloeospermum pauciflorum
Gloeospermum pilosum
Gloeospermum portobelense
Gloeospermum sclerophyllum
Gloeospermum sphaerocarpum
Hybanthus albus
Hybanthus atropurpureus
Hybanthus attenuatus
Hybanthus biacuminatus
Hybanthus bicolor
Hybanthus bigibbosus
Hybanthus brevicaulis
Hybanthus brevis
Hybanthus buxifolius
Hybanthus calceolaria
Hybanthus chiapensis
Hybanthus communis
Hybanthus concolor
Hybanthus durus
Hybanthus elatus
Hybanthus enneaspermus
Hybanthus enneaspermus
Hybanthus fruticulosus
Hybanthus galeottii
Hybanthus glaucus
Hybanthus graminifolius
Hybanthus hasslerianus
Hybanthus hieronymi
Hybanthus jefensis
Hybanthus lanatus
Hybanthus lehmannii
Hybanthus leptopus
Hybanthus leucopogon
Hybanthus linearifolius
Hybanthus longipes
Hybanthus longistylus
Hybanthus melchiorianus
Hybanthus mexicanus
Hybanthus mossamedensis
Hybanthus nanus
Hybanthus oppositifolius
Hybanthus paraguariensis
Hybanthus parietariifolius
Hybanthus parviflorus
Hybanthus phyllanthoides
Hybanthus poaya
Hybanthus potosinus
Hybanthus procumbens
Hybanthus prunifolius
Hybanthus purpusii
Hybanthus racemiferus
Hybanthus rosei
Hybanthus salacioides
Hybanthus serratus
Hybanthus serrulatus
Hybanthus setigerus
Hybanthus sprucei
Hybanthus strigoides
Hybanthus sylvicola
Hybanthus tenuifolius
Hybanthus thesiifolius
Hybanthus thiemei
Hybanthus velutinus
Hybanthus verbenaceus
Hybanthus verticillatus
Hybanthus verticillatus
Hybanthus villosissimus
Hybanthus yucatanensis
